Audit_Order,Source_Domain,Source_Row_Number,Source_L4_ID,Source_L4_Title_ko,Human_Review_Comment,Literal_Requirement,Intended_L3_Boundary,Intended_Harm_Mechanism,Final_Implementation,Fidelity_Status,Divergence_Type,Reviewer_Conflict,Evidence_and_Reason,New_Duplication_Scope_or_Term_Issues,Required_Correction,Overall_Conclusion
78,General,524,G_SYS_MISINFO_025,지속적 기만 수행에 의한 이용자 판단 왜곡,(jay) [이관] Deception and Scheming,지목된 L3 또는 도메인으로 이관,A_SYS_DECEPT,지정 범위(A_SYS_DECEPT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_DECEPT_002 [A_SYS_DECEPT] 지속적 기만 수행에 의한 이용자 판단 왜곡,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
79,General,528,G_SYS_OEXT_004,인지 오프로딩,(jay) [이관] Cultural and Epistemic Erosion,지목된 L3 또는 도메인으로 이관,G_SOC_CULT,지정 범위(G_SOC_CULT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_CULT_012 [G_SOC_CULT] 인지 오프로딩,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
80,General,530,G_SYS_OEXT_006,AI 위임에 따른 인간 의사결정 권한 이전,(jay) [이관] Governance and Accountability Void,지목된 L3 또는 도메인으로 이관,G_SOC_GOV,지정 범위(G_SOC_GOV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_GOV_020 [G_SOC_GOV] AI 위임에 따른 인간 의사결정 권한 이전,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
81,General,533,G_SYS_OEXT_009,샌드박스 우회에 의한 격리 통제 상실,(jay) [분할] 복합적. Security and Adversarial Robustness Failure + Deception and Scheming이 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_SYS_SECADV | A_SYS_DECEPT,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_APPLY_TRANSFER_APPLIED; G_SYS_SECADV_045 [G_SYS_SECADV] 샌드박스 탈출과 보호장치 우회; 편집명세 APPLY_TRANSFER:G_SYS_SECADV:샌드박스 탈출과 보호장치 우회,PARTIAL,과소반영,없음,Security와 Deception 분할 요청에서 Security만 남겼다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,기만 기제가 원문에 없다는 근거를 기록하고 원 검수자에게 단일 이관을 확인받는다.,Needs revision
82,General,534,G_SYS_OEXT_010,과적합 및 과소적합,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_SYS_EVAL_042 [G_SYS_EVAL] 과적합·과소적합을 탐지하지 못한 평가; 편집명세 REWRITE:G_SYS_EVAL:과적합·과소적합을 탐지하지 못한 평가,FAIL,의도변형,없음,성능·신뢰성 이관 요청을 과적합·과소적합 평가 실패로 바꿨다.,뚜렷한 신규 문제 없음,평가 실패라는 인과가 원문에 없으면 삭제하고 임의로 생성하지 않는다.,Needs revision
83,General,536,G_SYS_OEXT_012,해석가능성 결과에 대한 과대평가와 거짓 확 신,"yj_""거짓 확신"" 오타 정정",명칭·정의·용어를 지시대로 수정,G_SYS_OEXT,기존 위해 의미를 유지한 채 표현을 정제,EXPERT_REWRITE_APPLIED; G_SYS_OEXT_015 [G_SYS_OEXT] 설명가능성 기법의 검증범위 초과 과신; 편집명세 REWRITE:G_SYS_OEXT:설명가능성 기법의 검증범위 초과 과신,PASS,없음,없음,요청된 명칭·정의·용어 정제를 위해 의미 경계를 유지하며 재작성했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
84,General,537,G_SYS_OEXT_013,광범위 배포 AI 어시스턴트를 통한 대규모 영 향력 행사,(jay) [분할] 복합적. Unethical Conduct and Manipulation + Erosion of Democracy and Civic Order + Inequality and Power Concentration이 혼재되어 해당 L4를 분해 필요,복합 의미를 L3·위해 기제별로 분할,G_INT_UNETH | G_SOC_DEMOC | G_SOC_POWER,한 카드에 혼재된 원인·행위·피해를 원자적 위해 기제로 분리,EXPERT_SPLIT_APPLIED; G_INT_UNETH_019 [G_INT_UNETH] 취약성을 이용한 행동 조작 || G_SOC_DEMOC_005 [G_SOC_DEMOC] 민주적 공론과 시민 신뢰의 침식 || G_SOC_POWER_022 [G_SOC_POWER] 인구규모 AI 영향력의 집중; 편집명세 SPLIT:G_INT_UNETH:취약성을 이용한 행동 조작 || SPLIT:G_SOC_DEMOC:민주적 공론과 시민 신뢰의 침식 || SPLIT:G_SOC_POWER:인구규모 AI 영향력의 집중,PASS,없음,없음,검수 의견에서 구분한 L3·위해 기제를 별도 카드로 분리했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
85,General,538,G_SYS_OEXT_014,전문적 판단력 위축,(jay) [이관] Cultural and Epistemic Erosion,지목된 L3 또는 도메인으로 이관,G_SOC_CULT,지정 범위(G_SOC_CULT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_CULT_013 [G_SOC_CULT] 전문적 판단력 위축,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
86,General,539,G_SYS_OEXT_015,문화 해석 권위의 이전,(jay) [이관] Cultural and Epistemic Erosion,지목된 L3 또는 도메인으로 이관,G_SOC_CULT,지정 범위(G_SOC_CULT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_CULT_014 [G_SOC_CULT] 문화 해석 권위의 이전,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
87,General,542,G_SYS_OREF_001,거절-능력 혼동,(jay) [이관] Evaluation and Assurance Failure,지목된 L3 또는 도메인으로 이관,G_SYS_EVAL,지정 범위(G_SYS_EVAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_EVAL_038 [G_SYS_EVAL] 거절-능력 혼동,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
88,General,543,G_SYS_OREF_002,안전하지 않은 지시 주제,(jay) [이관] Security and Adversarial Robustness Failure,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_001 [G_SYS_SECADV] 안전하지 않은 지시 주제,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
89,General,572,G_SYS_SECADV_017,이상 조건에서의 성능·견고성·복원력 실패,(jay) [이관] Performance and Reliability Failure,지목된 L3 또는 도메인으로 이관,UNAVAILABLE_PERFORMANCE_RELIABILITY,일반 성능·신뢰성 실패로 경계를 이동,EXPERT_REWRITE_APPLIED; G_SYS_SECADV_046 [G_SYS_SECADV] 데이터 중독·적대적 입력에 의한 보안 교란; 편집명세 REWRITE:G_SYS_SECADV:데이터 중독·적대적 입력에 의한 보안 교란,FAIL,범위축소·과소반영,없음,성능·신뢰성 이관 요청에서 공격·중독 부분만 남기고 일반 복구·성능 의미를 제거했다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,공격과 일반 성능 실패를 분리하고 제거된 부분의 인간 결정을 기록한다.,Needs revision
90,Agentic,2,A_INT_CASCADE_001,다중에이전트 상전이에 의한 급격한 성능 붕괴,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",중복 여부를 검토하고 필요 시 병합 / 경계와 피해기제를 재검토,A_INT_CASCADE,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,KEEP_CONFIRMED_EXPERT; A_INT_CASCADE_001 [A_INT_CASCADE] 다중에이전트 상전이에 의한 급격한 성능 붕괴,PASS,없음,없음,병합 여부 검토 요청을 수행하고 기제 차이를 근거로 별도 유지를 결정했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
91,Agentic,3,A_INT_CASCADE_002,혼돈적 다중 에이전트 동역학,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",중복 여부를 검토하고 필요 시 병합 / 경계와 피해기제를 재검토,A_INT_CASCADE,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,KEEP_CONFIRMED_EXPERT; A_INT_CASCADE_002 [A_INT_CASCADE] 혼돈적 다중 에이전트 동역학,PASS,없음,없음,병합 여부 검토 요청을 수행하고 기제 차이를 근거로 별도 유지를 결정했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
92,Agentic,4,A_INT_CASCADE_003,에이전트 상호작용의 불안정화 피드백 루프,"A_INT_CASCADE_001, A_INT_CASCADE_002, A_INT_CASCADE_003 정의가 비슷 - merge 하는게 나을지 검토 필요",중복 여부를 검토하고 필요 시 병합 / 경계와 피해기제를 재검토,A_INT_CASCADE,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,KEEP_CONFIRMED_EXPERT; A_INT_CASCADE_003 [A_INT_CASCADE] 에이전트 상호작용의 불안정화 피드백 루프,PASS,없음,없음,병합 여부 검토 요청을 수행하고 기제 차이를 근거로 별도 유지를 결정했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
93,Agentic,8,A_INT_CASCADE_007,AI 공급망의 도구·의존성 손상,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_036 [G_SYS_SECADV] AI 공급망의 도구·의존성 손상,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
94,Agentic,9,A_INT_CASCADE_008,원격 조작 지연 및 불안정성,Physical AI - Unsafe Physical Control and Actuation 으로 이관,지목된 L3 또는 도메인으로 이관,P_SYS_CONTROL,지정 범위(P_SYS_CONTROL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; P_SYS_CONTROL_001 [P_SYS_CONTROL] 원격 조작 지연 및 불안정성,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
95,Agentic,10,A_INT_COLLUSION_001,은닉 통신 채널을 통한 에이전트 간 결탁,"A_INT_COLLUSION_001, A_INT_COLLUSION_002 정의가 유사함 - merge 할지 검토 필요",중복 여부를 검토하고 필요 시 병합 / 경계와 피해기제를 재검토,A_INT_COLLUSION,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; A_INT_COLLUSION_001 [A_INT_COLLUSION] 은닉 통신 채널을 통한 에이전트 간 결탁 || A_INT_COLLUSION_004 [A_INT_COLLUSION] 감시 회피형 은밀 통신에 의한 다중 에이전트 공모; 편집명세 MERGE:A_INT_COLLUSION:감시 회피형 은밀 통신에 의한 다중 에이전트 공모,PASS,없음,없음,지목된 중복 카드군을 대표 위해 기제로 통합했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
96,Agentic,11,A_INT_COLLUSION_002,다중 에이전트 은밀 공모,"A_INT_COLLUSION_001, A_INT_COLLUSION_002 정의가 유사함 - merge 할지 검토 필요",중복 여부를 검토하고 필요 시 병합 / 경계와 피해기제를 재검토,A_INT_COLLUSION,동일 L3 안의 중복 위해 기제를 대표 카드로 통합,EXPERT_MERGE_APPLIED; A_INT_COLLUSION_004 [A_INT_COLLUSION] 감시 회피형 은밀 통신에 의한 다중 에이전트 공모; 편집명세 MERGE:A_INT_COLLUSION:감시 회피형 은밀 통신에 의한 다중 에이전트 공모,PASS,없음,없음,지목된 중복 카드군을 대표 위해 기제로 통합했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
97,Agentic,13,A_INT_COLLUSION_004,위임 에이전트 공격에 의한 정보 탈취·행위 조작,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_037 [G_SYS_SECADV] 위임 에이전트 공격에 의한 정보 탈취·행위 조작,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
98,Agentic,15,A_INT_CONFLICT_002,벤치마크 안전 순위 불일치,General AI- Evaluation and Assurance Failure 로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_EVAL,지정 범위(G_SYS_EVAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_EVAL_039 [G_SYS_EVAL] 벤치마크 안전 순위 불일치,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
99,Agentic,20,A_INT_COORD_004,단일 실패 지점,General - Governance and Accountability Void 로 이관,지목된 L3 또는 도메인으로 이관,G_SOC_GOV,지정 범위(G_SOC_GOV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SOC_GOV_021 [G_SOC_GOV] 단일 실패 지점,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
100,Agentic,22,A_Others_001,에이전트 과업 이탈,Agentic - Goal Misalignment로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,지정 범위(A_SYS_GOAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_GOAL_001 [A_SYS_GOAL] 에이전트 과업 이탈,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
101,Agentic,23,A_Others_002,어포던스 부여에 의한 에이전트 실패 영향 확대,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_Others,어포던스 부여에 의한 에이전트 실패 영향 확대의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_001 [A_SYS_AUTH] 어포던스 부여에 의한 에이전트 실패 영향 확대,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
102,Agentic,24,A_Others_003,AI 에이전트 간 협상실패,Agentic AI- Competitive Conflict로 이관,지목된 L3 또는 도메인으로 이관,A_Others,AI 에이전트 간 협상실패의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_INT_CONFLICT_003 [A_INT_CONFLICT] AI 에이전트 간 협상실패,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
103,Agentic,25,A_Others_004,AI 에이전트에 의한 강압과 갈취,Agentic AI - Deception and Scheming로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_DECEPT,지정 범위(A_SYS_DECEPT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_DECEPT_003 [A_SYS_DECEPT] AI 에이전트에 의한 강압과 갈취,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
104,Agentic,26,A_Others_005,탐지 불가 공격에 의한 다중에이전트 협력 붕괴,Agentic AI - Deception and Scheming로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_DECEPT,지정 범위(A_SYS_DECEPT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_DECEPT_004 [A_SYS_DECEPT] 탐지 불가 공격에 의한 다중에이전트 협력 붕괴,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
105,Agentic,27,A_Others_006,감독 확장 실패에 의한 프록시 기반 유해 행동,Agentic - Goal Misalignment로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,지정 범위(A_SYS_GOAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_GOAL_002 [A_SYS_GOAL] 감독 확장 실패에 의한 프록시 기반 유해 행동,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
106,Agentic,28,A_Others_007,인터페이스-환경 공격 표면,General AI의 System Policy Exposure로 이관,지목된 L3 또는 도메인으로 이관,A_Others,인터페이스-환경 공격 표면의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_SYS_POLICY_009 [G_SYS_POLICY] 인터페이스-환경 공격 표면,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
107,Agentic,29,A_Others_008,학습 중 탐색 행동에 의한 회복 불가 피해,General AI - Overconfidence로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_OVERCONF,지정 범위(G_SYS_OVERCONF)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_OVERCONF_005 [G_SYS_OVERCONF] 학습 중 탐색 행동에 의한 회복 불가 피해,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
108,Agentic,30,A_Others_009,악의적 사용과 무감독 에이전트 방출,General AI의 Illegal or Unethical Conduct로 이관,지목된 L3 또는 도메인으로 이관,A_Others,악의적 사용과 무감독 에이전트 방출의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; G_Others_141 [G_Others] 악의적 사용과 무감독 에이전트 방출,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
109,Agentic,31,A_Others_010,다단계 위험 에스컬레이션,Agentic - Goal Misalignment로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,지정 범위(A_SYS_GOAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_GOAL_003 [A_SYS_GOAL] 다단계 위험 에스컬레이션,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
110,Agentic,32,A_Others_011,NPC 의도 조작,Agentic AI - Deception and Scheming로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_DECEPT,지정 범위(A_SYS_DECEPT)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_DECEPT_005 [A_SYS_DECEPT] NPC 의도 조작,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
111,Agentic,33,A_Others_012,다중 에이전트 학습의 비수렴 순환,Agentic AI - Cascading Failure and Instability 이관,검수 의견에 적힌 의미·범위 조정,A_Others,다중 에이전트 학습의 비수렴 순환의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_INT_CASCADE_007 [A_INT_CASCADE] 다중 에이전트 학습의 비수렴 순환,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
112,Agentic,34,A_Others_013,프로토콜 수준 다중 에이전트 위협,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_038 [G_SYS_SECADV] 프로토콜 수준 다중 에이전트 위협,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
113,Agentic,35,A_Others_014,다중 에이전트 역량 결합에 의한 안전장치 우회,Agentic AI - Collusion 이관,검수 의견에 적힌 의미·범위 조정,A_Others,다중 에이전트 역량 결합에 의한 안전장치 우회의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_INT_COLLUSION_003 [A_INT_COLLUSION] 다중 에이전트 역량 결합에 의한 안전장치 우회,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
114,Agentic,36,A_Others_015,배포 이후 예측하지 못한 창발적 역량과 행동,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_Others,배포 이후 예측하지 못한 창발적 역량과 행동의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_002 [A_SYS_AUTH] 배포 이후 예측하지 못한 창발적 역량과 행동,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
115,Agentic,37,A_Others_016,통제되지 않는 자기개선과 AGI 통제 상실,Agentic - Excessive Authority and Agency 로 이관,지목된 L3 또는 도메인으로 이관,A_Others,통제되지 않는 자기개선과 AGI 통제 상실의 현재 위해 기제를 유지,L3_REASSIGN_APPLIED; A_SYS_AUTH_003 [A_SYS_AUTH] 통제되지 않는 자기개선과 AGI 통제 상실,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
116,Agentic,38,A_Others_017,의도하지 않은 유해 도구 행동 실행,Agentic - Goal Misalignment로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,지정 범위(A_SYS_GOAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_GOAL_004 [A_SYS_GOAL] 의도하지 않은 유해 도구 행동 실행,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
117,Agentic,39,A_Others_018,광범위 배포 비서의 안전하지 않은 탐색,General AI - Overconfidence로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_OVERCONF,지정 범위(G_SYS_OVERCONF)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_OVERCONF_006 [G_SYS_OVERCONF] 광범위 배포 비서의 안전하지 않은 탐색,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
118,Agentic,40,A_Others_019,장기 계획 역량에 의한 감독 불가 행동 경로 추구,Agentic - Goal Misalignment로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_GOAL,지정 범위(A_SYS_GOAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; A_SYS_GOAL_005 [A_SYS_GOAL] 장기 계획 역량에 의한 감독 불가 행동 경로 추구,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
119,Agentic,42,A_SYS_AUTH_002,에이전트 신원 및 권한 스푸핑,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_039 [G_SYS_SECADV] 에이전트 신원 및 권한 스푸핑,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
120,Agentic,47,A_SYS_AUTH_007,애플리케이션 간 데이터 유출,General - Privacy Violation 으로 이관,지목된 L3 또는 도메인으로 이관,G_INT_PRIV,지정 범위(G_INT_PRIV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_INT_PRIV_023 [G_INT_PRIV] 애플리케이션 간 데이터 유출,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
121,Agentic,57,A_SYS_DECEPT_001,에이전트 메모리·컨텍스트 오염,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_040 [G_SYS_SECADV] 에이전트 메모리·컨텍스트 오염,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
122,Agentic,58,A_SYS_DECEPT_002,에이전트 계획·툴체인 하이재킹,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_041 [G_SYS_SECADV] 에이전트 계획·툴체인 하이재킹,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
123,Agentic,59,A_SYS_DECEPT_003,에이전트의 범죄 지원,General AI의 Security and Adversarial Robustness Failure로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_SECADV,지정 범위(G_SYS_SECADV)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_SECADV_042 [G_SYS_SECADV] 에이전트의 범죄 지원,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
124,Agentic,67,A_SYS_GOAL_005,에뮬레이션 도구 환경 불일치,General AI- Evaluation and Assurance Failure 로 이관,지목된 L3 또는 도메인으로 이관,G_SYS_EVAL,지정 범위(G_SYS_EVAL)의 위해 기제로 이동,L3_REASSIGN_APPLIED; G_SYS_EVAL_040 [G_SYS_EVAL] 에뮬레이션 도구 환경 불일치,PASS,없음,없음,명시된 L3·도메인 이관이 최종 L3에 반영됐다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
125,Agentic,70,A_SYS_GOAL_008,목표 드리프트,L3 Goal Misalignment 정의와 유사하여 제거,카드 삭제,A_SYS_GOAL,지정 범위(A_SYS_GOAL)의 위해 기제로 이동,DELETE_APPLIED; 삭제,PASS,없음,없음,명시적 제거 또는 L3 정의 중복 삭제 요청을 반영했다.,뚜렷한 신규 문제 없음,수정 불필요.,Needs revision
126,Agentic,72,A_SYS_GOAL_010,분포 이동에서의 목표 오일반화와 기만적 정 렬,Agentic AI - Deception and Scheming로 이관,지목된 L3 또는 도메인으로 이관,A_SYS_DECEPT,지정 범위(A_SYS_DECEPT)의 위해 기제로 이동,EXPERT_SPLIT_APPLIED; A_SYS_GOAL_020 [A_SYS_GOAL] 분포 이동에서의 목표 오일반화 || A_SYS_DECEPT_009 [A_SYS_DECEPT] 기만적 정렬과 책략; 편집명세 SPLIT:A_SYS_GOAL:분포 이동에서의 목표 오일반화 || SPLIT:A_SYS_DECEPT:기만적 정렬과 책략,PARTIAL,과소반영,없음,Deception and Scheming으로 이관하라는 요청을 Goal과 Deception 분할로 바꿔 기존 Goal 의미를 잔존시켰다.,검수자가 지목한 의미 일부가 제거 또는 축소됨,"분할 유지가 필요하면 원 검수자 재승인을 받고, 아니면 전체를 A_SYS_DECEPT로 이관한다.",Needs revision
