원본추적ID,source_row_id,source_l4_id,target_domain,title_ko,title_en,description_ko,description_en,대안_리스크명칭_ko,대안_리스크명칭_en,대안_정의_ko,대안_정의_en,변경유형,근거(법령·가이드라인),비고
RAI4-1453,SRC-G-0299,RAI4-1453,General,탄소 배출 리스크,Carbon emissions,"이산화탄소, 산화 질소 등의 가스가 배출되어 탄소 배출이 증가하고 기후 변화가 악화되어 지역 사회에 부정적 영향이 발생하는 리스크.","The risk that release of carbon dioxide, nitric oxide, and other gases increases carbon emissions, exacerbates climate change, and negatively impacts local communities.",탄소 배출,Carbon emissions,"이산화탄소, 산화질소 등의 가스가 배출되어 탄소 배출이 증가하고 기후변화가 악화되어 지역사회에 부정적 영향이 발생하는 리스크.","The risk that release of carbon dioxide, nitric oxide, and other gases increases carbon emissions, exacerbates climate change, and negatively impacts local communities.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1455,SRC-G-0300,RAI4-1455,General,전자 폐기물 과다 매립 리스크,Excessive electronic waste landfill,전기· 전자 장비의 과도한 폐기로 생태계와 생물 다양성이 훼손되고 지역 사회의 생계가 교란되며 권리가 침해되는 리스크.,"The risk that excessive disposal of electrical or electronic equipment leads to ecological and biodiversity damage, disrupts the livelihoods of local communities, and erodes their rights.",전자폐기물 과다 매립,Excessive electronic waste landfill,전기·전자 장비의 과도한 폐기로 생태계와 생 물다양성이 훼손되고 지역사회의 생계가 교 란되며 권리가 침해되는 리스크.,"The risk that excessive disposal of electrical or electronic equipment leads to ecological and biodiversity damage, disrupts the livelihoods of local communities, and erodes their rights.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1698,SRC-G-0301,RAI4-1698,General,단일 목표 최적화에 의한 환경 부작용 리스크,Environmental side effects from singleobjective optimization,"하나의 과업에 집중된 목표를 최적화하는 에이전트가 다른 환경 변수에 대해 암묵적 무관심을 보여, 한계적 과업 이득을 위해 더 넓은 환경에 큰 교란을 일으키는 리스크.","The risk that an agent optimizing an objective focused on one task expresses implicit indifference over other environmental variables, causing major disruption to the wider environment for marginal task gain.",단일 목표 최적화에 의한 환경 부작용,Environmental side effects from singleobjective optimization,"하나의 과업에 집중된 목표를 최적화하는 에이전트가 다른 환경 변수에 대해 암묵적 무관 심을 보여, 한계적 과업 이득을 위해 더 넓은 환경에 큰 교란을 일으키는 리스크.","The risk that an agent optimizing an objective focused on one task expresses implicit indifference over other environmental variables, causing major disruption to the wider environment for marginal task gain.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0346,SRC-G-0302,RAI4-0346,General,센서스푸핑및신호주입 리스크,Sensor spoofing and signal injection,공격자가 GNSS· 카메라· 라이다· 레이더·RFID· 오디오· 촉각· 무선 신호를 조작하여 피지컬 행동을 변경하는 위험.,"The risk that attackers may manipulate GNSS, camera, LiDAR, radar, RFID, audio, tactile, or wireless signals to alter physical behavior.",센서 스푸핑 및 신호 주입,Sensor spoofing and signal injection,공격자가 GNSS·카메라·라이다·레이더·RFID·오디오·촉각·무선 신호를 조작하여 피지컬 행동을 변경하는 위험.,"The risk that attackers may manipulate GNSS, camera, LiDAR, radar, RFID, audio, tactile, or wireless signals to alter physical behavior.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0432,SRC-G-0303,RAI4-0432,General,민감 개인 속성 추론 리스크,Sensitive personal attribute inference,모델 동작으로 인해서 사용자 또는 관리자가 의도적으로 공개되지 않은 민감한 개인의 속성 정보가 추론을 통해서 노출될 수 있는 리스크.,The risk that model behavior enables inference of sensitive personal attributes not intentionally disclosed.,민감 개인속성 추론,Sensitive personal attribute inference,모델 동작으로 인해서 사용자 또는 관리자가 의도적으로 공개되지 않은 민감한 개인의 속성 정보가 추론을 통해서 노출될 수 있는 리스크.,The risk that model behavior enables inference of sensitive personal attributes not intentionally disclosed.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1056,SRC-G-0304,RAI4-1056,General,보호 속성 추론을 통한 프라이버시 침해,Privacy violation through inference of protected personal attributes,학습 코퍼스에 해당 개인의 데이터가 없더라도 모델이 입력 프롬 프 트로부터 인종· 성별· 성적 지향· 종교성 등 보호 속성을 높은 정확도로 추론하는 리스크로 사용자 본인 또는 당사자의 인지나 동의 없이 진실하고 민감한 정보로 구성된 상세 프로필이 작성되어 차별과 표적화에 노출될 수 있는 위험.,"The risk that models infer protected characteristics such as race, gender, sexual orientation, or religiousness from a user's input prompt even when that information is absent from the training corpus. Detailed profiles of true and sensitive information are assembled without the individual's knowledge or consent, exposing them to discrimination and targeting.",보호 속성 추론을 통한 프라이버시 침해,Privacy violation through inference of protected personal attributes,학습 코퍼스에 해당 개인의 데이터가 없더라도 모델이 입력 프롬 프 트로부터 인종·성별·성적지향·종교성 등 보호 속성을 높은 정확도로 추론하는 리스크로 사용자 본인 또는 당사자의 인지나 동의 없이 진실하고 민감한 정보로 구성된 상세 프로필이 작성되어 차별과 표적화에 노출될 수 있는 위험.,"The risk that models infer protected characteristics such as race, gender, sexual orientation, or religiousness from a user's input prompt even when that information is absent from the training corpus. Detailed profiles of true and sensitive information are assembled without the individual's knowledge or consent, exposing them to discrimination and targeting.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1655,SRC-G-0305,RAI4-1655,General,LLM 기반 정교한 감시· 검열에 의한 자유 억압 리스크,Suppression of liberties through LLMenabled surveillance and censorship,"LLM과 음성 인식· 멀티 모달 기술이 텍스트뿐 아니라 통화· 영상 통신까지 대규모로 감시· 검열할 수 있게하여, 정치적 반대자의 침묵 또는 개인의 자유 위축 등과 같은 국가적 억압의 용도로 이용되거나, 기술에 의해보다 더 영향이 심각하게 발전되는 위험.","The risk that LLMs, including multimodal models and those combined with speechto-text, enable significantly more sophisticated surveillance and censorship operations at scale, including of phone calls and video messages, worsening personal liberties and heightening state oppression.",LLM 기반 정교한 감시·검열에 의한 자유 억압,Suppression of liberties through LLMenabled surveillance and censorship,"LLM과 음성 인식·멀티모달 기술이 텍스트뿐 아니라 통화·영상 통신까지 대규모로 감시·검열할 수 있게하여, 정치적 반대자의 침묵 또는 개인의 자유 위축 등과 같은 국가적 억압의 용도로 이용되거나, 기술에 의해보다 더 영향이 심각하게 발전되는 위험.","The risk that LLMs, including multimodal models and those combined with speechto-text, enable significantly more sophisticated surveillance and censorship operations at scale, including of phone calls and video messages, worsening personal liberties and heightening state oppression.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0514,SRC-G-0306,RAI4-0514,General,일자리에 미치는 영향 리스크,Impact on jobs,AI 시스템의 업무 자동화로 인해서 재숙련 경로를 통해 노동자의 역량을 향상 또는 전환하는 속도보다 AI 시스템이 더 빠르게 일자리를 대체함으로써 발생하는 고용 불안정의 리스크.,The risk that automation of work by foundation-modelbased systems displaces jobs faster than reskilling pathways can absorb affected workers.,일자리에 미치는 영향,Impact on jobs,AI 시스템의 업무 자동화로 인해서 재숙련 경로를 통해 노동자의 역량을 향상 또는 전환하는 속도보다 AI 시스템이 더 빠르게 일자리를 대체함으로써 발생하는 고용 불안정의 리스크.,The risk that automation of work by foundation-modelbased systems displaces jobs faster than reskilling pathways can absorb affected workers.,UNCHANGED,,
RAI4-1065,SRC-G-0307,RAI4-1065,General,업무 자동화로 인한 고용 악화 리스크,Negative employment effects from task automation,AI 시스템과 이에 기반한 언어 기술의 발전으로 인해서 고객 서비스 응대 등 현재 유급 노동자가 수행하는 대부분의 업무가 자동화되어 고용 안정에 부정적 영향을 미치는 위험.,"The risk that advances in AI systems and the language technologies based on them automate tasks currently done by paid human workers, such as responding to customer-service queries, with negative effects on employment.",업무 자동화로 인한 고용 악화,Negative employment effects from task automation,AI 시스템과 이에 기반한 언어 기술의 발전으로 인해서 고객 서비스 응대 등 현재 유급 노동자가 수행하는 대부분의 업무가 자동화되어 고용 안정에 부정적 영향을 미치는 위험.,"The risk that advances in AI systems and the language technologies based on them automate tasks currently done by paid human workers, such as responding to customer-service queries, with negative effects on employment.",UNCHANGED,,
RAI4-1232,SRC-G-0308,RAI4-1232,General,산업 교란 리스크,Disruption of industries,"창의성과 비판적 사고, 정서적 상호 작용이 덜 요구되는 번역과 교정, 단순 문의 응대, 데이터 처리 같은 산업이 생성형 AI에 의해 심각하게 영향을 받거나 AI 시스템으로 대체되어서 경제적 혼란과 일자리 변동이 극심하게 발생하는 리스크.","The risk that industries requiring less creativity, critical thinking, and personal or affective interaction, such as translation, proofreading, responding to straightforward inquiries, and data processing, are significantly impacted or even replaced by generative AI, leading to economic turbulence and job volatility.",산업 교란,Disruption of industries,"창의성과 비판적 사고, 정서적 상호작용이 덜 요구되는 번역과 교정, 단순 문의 응대, 데이터 처리 같은 산업이 생성형 AI에 의해 심각하게 영향을 받거나 AI시스템으로 대체되어서 경제적 혼란과 일자리 변동이 극심하게 발생하는 리스크.","The risk that industries requiring less creativity, critical thinking, and personal or affective interaction, such as translation, proofreading, responding to straightforward inquiries, and data processing, are significantly impacted or even replaced by generative AI, leading to economic turbulence and job volatility.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1445,SRC-G-0309,RAI4-1445,General,불평등과 기술적 충격에 따른 사회 불안정 리스크,Societal destabilisation from inequality and technological disruption,"AI 기술로 인한 일자리 부족과 불공정한 알고리즘, 허위 정보, 그리고 AI 시스템이 유발하거나 증폭된 사회적 지위 및 부의 격차의 확대가 지역 사회의 복지와 결속을 훼손하는 리스크. 이러한 리스크로 인한 파업과 시위를 비롯한 시민 불안이 확산되고, 사회 전반의 안정이 흔들릴 수 있는 위험.","The risk that job losses to technology, unfair algorithmic outcomes, disinformation, and the widening gaps in social status and wealth caused or amplified by technology systems erode social and community wellbeing and cohesion. Strikes, demonstrations, and other forms of civil unrest follow as overall societal stability deteriorates.",불평등과 기술적 충격에 따른 사회 불안정,Societal destabilisation from inequality and technological disruption,"AI 기술로 인한 일자리 부족과 불공정한 알고리즘, 허위 정보, 그리고 AI 시스템이 유발하거나 증폭된 사회적 지위 및 부의 격차의 확대가 지역사회의 복지와 결속을 훼손하는 리스크. 이러한 리스크로 인한 파업과 시위를 비롯한 시민 불안이 확산되고, 사회 전반의 안정이 흔들릴 수 있는 위험.","The risk that job losses to technology, unfair algorithmic outcomes, disinformation, and the widening gaps in social status and wealth caused or amplified by technology systems erode social and community wellbeing and cohesion. Strikes, demonstrations, and other forms of civil unrest follow as overall societal stability deteriorates.",SPACING_FIX,,분량 초과: L3 수준 1문장으로 축약 필요
RAI4-1662,SRC-G-0310,RAI4-1662,General,아웃소싱 축소에 의한 개발도상국 경제 타격 리스크,Harm to developing economies from retrenchment of outsourcing,콜센터 등 개발도상국이 수행하던 단순 인지 과업이 AI 시스템으로 자동화되면서 아웃소싱이 축소되어 해당 국가의 노동력과 경제가 타격을 입는 리스크.,"The risk that automation of simple cognitive tasks previously performed in developing countries, such as call center work, causes a retrenchment of outsourcing that adversely affects those countries' workforces and economies.",아웃소싱 축소에 의한 개발도상국 경제 타격,Harm to developing economies from retrenchment of outsourcing,콜센터 등 개발도상국이 수행하던 단순 인지 과업이 AI 시스템으로 자동화되면서 아웃소싱이 축소되어 해당 국가의 노동력과 경제가 타격을 입는 리스크.,"The risk that automation of simple cognitive tasks previously performed in developing countries, such as call center work, causes a retrenchment of outsourcing that adversely affects those countries' workforces and economies.",UNCHANGED,,
RAI4-0384,SRC-G-0311,RAI4-0384,General,남반구 지식 추출 리스크,Global South knowledge extraction,"남반구 공동체의 지식, 언어 데이터, 문화 자원이 적절한 인정· 통제· 이익 공유 없이 AI 개발에 추출되는 글로벌 사우스 지식 추출 리스크.","The risk that knowledge, language data, or cultural resources from Global South communities are extracted for AI development without adequate recognition, control, or benefit-sharing.",남반구 지식 추출,Global South knowledge extraction,"남반구 공동체의 지식, 언어 데이터, 문화 자원이 적절한 인정·통제·이익 공유 없이 AI 개발에 추출되는 글로벌 사우스 지식 추출 리스크.","The risk that knowledge, language data, or cultural resources from Global South communities are extracted for AI development without adequate recognition, control, or benefit-sharing.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0458,SRC-G-0312,RAI4-0458,General,AI 관련 임금 양극화 리스크,AI-related wage polarization,"AI 시스템의 도입이 AI로 인한 보완적 숙련의 보상은 높이는 반면, 대체 가능한 숙련의 가치를 현격히 떨어뜨림으로써 노동 시장의 임금 양극화를 확대하는 리스크.","The risk that aI adoption raises returns to skills complementary to AI while devaluing substitutable skills, widening wage polarization across the workforce.",AI 관련 임금 양극화,AI-related wage polarization,"AI 시스템의 도입이 AI로 인한 보완적 숙련의 보상은 높이는 반면, 대체 가능한 숙련의 가치를 현격히 떨어뜨림으로써 노동 시장의 임금 양극화를 확대하는 리스크.","The risk that aI adoption raises returns to skills complementary to AI while devaluing substitutable skills, widening wage polarization across the workforce.",UNCHANGED,,
RAI4-0461,SRC-G-0313,RAI4-0461,General,연산 자원 접근 불평등 리스크,Compute inequality,연산 인프라에 대한 불평등한 접근으로 인해 AI 시스템을 개발· 감사· 활용할 수 있는 주체를 결정하는 연산 자원 접근 불평등 리스크.,"The risk that unequal access to compute infrastructure shapes who can develop, audit, or benefit from AI.",연산 자원 접근 불평등,Compute inequality,연산 인프라에 대한 불평등한 접근으로 인해 AI 시스템을 개발·감사·활용할 수 있는 주체를 결정하는 연산 자원 접근 불평등 리스크.,"The risk that unequal access to compute infrastructure shapes who can develop, audit, or benefit from AI.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0505,SRC-G-0314,RAI4-0505,General,AI 개발 과정의 노동 착취 리스크,Labor exploitation in AI development,"데이터 라벨 링, 콘텐츠 조정, 데이터 소싱, 사용자 테스트 등 AI 시스템의 학습, 개발, 최적화 과정에 투입되는 노동이 저소득 국가와 역외 노동자에게 외주화된 채 저임금과 열악한 노동 조건, 신체· 정신 건강 보호의 결여 속에서 착취적 관행과 불평등이 지속되는 리스크.","The risk that the labor used to train, develop, and optimize AI systems, including data labeling, moderation, sourcing, and user testing outsourced to low-income countries and offshore workers, is underpaid and denied adequate working conditions and physical and mental health protections, perpetuating exploitative practices and inequality.",AI 개발 과정의 노동 착취,Labor exploitation in AI development,"데이터 라벨 링, 콘텐츠 조정, 데이터 소싱, 사용자 테스트 등 AI 시스템의 학습, 개발, 최적화 과정에 투입되는 노동이 저소득 국가와 역외 노동자에게 외주화된 채 저임금과 열악한 노동 조건, 신체·정신 건강 보호의 결여 속에서 착취적 관행과 불평등이 지속되는 리스크.","The risk that the labor used to train, develop, and optimize AI systems, including data labeling, moderation, sourcing, and user testing outsourced to low-income countries and offshore workers, is underpaid and denied adequate working conditions and physical and mental health protections, perpetuating exploitative practices and inequality.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0509,SRC-G-0315,RAI4-0509,General,글로벌 AI 격차와 불평등 리스크,Global AI divide and inequality,"희소한 연산 자원, 과학 기술 인재, 첨단 범용 모델에 대한 실질적 접근이 소수 선도 국가와 대형 기업에 집중되어 AI 연구 개발과 경제력이 편중되고, 선도 국과 후발국 간 격차가 벌어지며 기업· 개인· 국가 간 기존의 사회 경제적 불평등이 심화되는 리스크.","The risk that scarce computing power, STEM talent, and effective access to advanced general-purpose models concentrate AI research, development, and economic power in a few leading countries and large firms, widening the divide between those leading in AI and those falling behind and deepening existing socioeconomic disparities among companies, individuals, and countries.",글로벌 AI 격차와 불평등,Global AI divide and inequality,"희소한 연산 자원, 과학기술 인재, 첨단 범용 모델에 대한 실질적 접근이 소수 선도 국가와 대형 기업에 집중되어 AI 연구개발과 경제력 이 편중되고, 선도국과 후발국 간 격차가 벌어 지며 기업·개인·국가 간 기존의 사회경제적 불 평등이 심화되는 리스크.","The risk that scarce computing power, STEM talent, and effective access to advanced general-purpose models concentrate AI research, development, and economic power in a few leading countries and large firms, widening the divide between those leading in AI and those falling behind and deepening existing socioeconomic disparities among companies, individuals, and countries.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1011,SRC-G-0316,RAI4-1011,General,노동 착취와 거시 경제적 불평등 심화 리스크,Labor exploitation and macro-economic inequality,"AI 시스템이 사회 경제적 관계의 권력 불균형을 키워 디지털 격차와 체계적 불평등을 고착시키고, 비윤리적 데이터 수집· 노동 환경 악화 등 노동 착취와 기술적 실업· 탈숙련을 낳으며, 대규모 실패 시 플래시 크래시 등 광범위한 악영향을 초래하는 노동 착취와 거시적 불평등을 심화시키는 리스크.","The risk that algorithmic systems increase power imbalances in socio-economic relations, exacerbating digital divides and entrenching systemic inequalities, fostering labor exploitation such as unethical data collection and worsening worker conditions, driving technological unemployment and deskilling, and causing flash crashes and other widespread adverse incidents when algorithmic financial systems fail at scale.",노동 착취와 거시경제적 불평등 심화,Labor exploitation and macro-economic inequality,"AI 시스템이 사회 경제적 관계의 권력 불균형을 키워 디지털 격차와 체계적 불평등을 고착시키고, 비윤리적 데이터 수집·노동환경 악화 등 노동 착취와 기술적 실업·탈숙련을 낳으며, 대규모 실패 시 플래시 크래시 등 광범위한 악영향을 초래하는 노동 착취와 거시적 불평등을 심화시키는 리스크.","The risk that algorithmic systems increase power imbalances in socio-economic relations, exacerbating digital divides and entrenching systemic inequalities, fostering labor exploitation such as unethical data collection and worsening worker conditions, driving technological unemployment and deskilling, and causing flash crashes and other widespread adverse incidents when algorithmic financial systems fail at scale.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1022,SRC-G-0317,RAI4-1022,General,높은 비용으로 인한 접근 배제 리스크,Exclusion from access due to high costs,생성형 AI 시스템의 훈련· 시험· 배포에 드는 재정적 비용이 커서 이러한 시스템을 개발하고 이용할 수 있는 집단이 제한되는 리스크.,"The risk that the estimated financial costs of training, testing, and deploying generative AI systems restrict the groups of people able to afford developing and interacting with these systems.",높은 비용으로 인한 접근 배제,Exclusion from access due to high costs,생성형 AI 시스템의 훈련·시험·배포에 드는 재 정적 비용이 커서 이러한 시스템을 개발하고 이용할 수 있는 집단이 제한되는 리스크.,"The risk that the estimated financial costs of training, testing, and deploying generative AI systems restrict the groups of people able to afford developing and interacting with these systems.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1224,SRC-G-0318,RAI4-1224,General,디지털 격차 확대 리스크,Widening digital divide,"생성 AI가 기기나 인터넷 접근이 없거나 벤더에 차단된 지역의 사람들에게 1차 디지털 격차를, 언어와 문화 장벽에 부딪히거나 도구 활용이 어려운 이들에게 2차 디지털 격차를 확대하는 리스크.","The risk that generative AI widens the first-level digital divide for those without access to devices or the Internet or blocked by vendors, and the second-level divide for those facing language and cultural barriers or finding the tools difficult to use.",디지털 격차 확대,Widening digital divide,"생성 AI가 기기나 인터넷 접근이 없거나 벤더 에 차단된 지역의 사람들에게 1차 디지털 격차 를, 언어와 문화 장벽에 부딪히거나 도구 활용 이 어려운 이들에게 2차 디지털 격차를 확대 하는 리스크.","The risk that generative AI widens the first-level digital divide for those without access to devices or the Internet or blocked by vendors, and the second-level divide for those facing language and cultural barriers or finding the tools difficult to use.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1233,SRC-G-0319,RAI4-1233,General,사회 경제적 불평등 증폭과 AI 이익의 집중 리스크,Amplified socioeconomic inequality and concentration of AI gains,"편향된 시스템과 집단 간 성능 격차, 불평등한 접근이 고용· 교육· 금융· 공공 서비스에서 겹쳐 작용하고, 증강보다 자동화를 지향하는 도입이 노동의 가치를 낮추는 한편 막대한 자본과 데이터· 연산 자원이 소수 기업과 부유한 국가에 집중되는 리스크. 그 결과 주변화된 집단과 개발도상국은 더욱 뒤처지고, 저임금· 무보수 노동이 착취되며, 독점이 형성되어 사회적 결속과 형평이 훼손된다. 이러한 결과를 초래하는 리스크.","The risk that biased systems, disparate performance, and unequal access compound across employment, education, financial, and public services, while automation-oriented adoption devalues labour and the capital, data, and compute required to build models concentrate resources in a few firms and wealthier countries. Marginalized groups and developing economies fall further behind, precarious and unpaid work is exploited, monopolies form, and social cohesion and equity erode.",사회경제적 불평등 증폭과 AI 이익의 집중,Amplified socioeconomic inequality and concentration of AI gains,"편향된 시스템과 집단 간 성능 격차, 불평등한 접근이 고용·교육·금융·공공 서비스에서 겹쳐 작용하고, 증강보다 자동화를 지향하는 도입이 노동의 가치를 낮추는 한편 막대한 자본과 데이터·연산 자원이 소수 기업과 부유한 국가에 집중되는 리스크. 그 결과 주변화된 집단과 개발도상국은 더욱 뒤처지고, 저임금·무보수 노동이 착취되며, 독점이 형성되어 사회적 결속과 형평이 훼손된다. 이러한 결과를 초래하는 리스크.","The risk that biased systems, disparate performance, and unequal access compound across employment, education, financial, and public services, while automation-oriented adoption devalues labour and the capital, data, and compute required to build models concentrate resources in a few firms and wealthier countries. Marginalized groups and developing economies fall further behind, precarious and unpaid work is exploited, monopolies form, and social cohesion and equity erode.",SPACING_FIX,표기 교정(원문 대조 복원),분량 초과: L3 수준 1문장으로 축약 필요; 영문 정의 장문: 축약 필요
RAI4-1404,SRC-G-0320,RAI4-1404,General,데이터 노동 저평가· 비가시화 리스크,Undervalued and invisible data labor,ML 학습 데이터를 생산하는 클릭 워커의 노동이 노동자 권리를 경시하는 산업 관행 속에 수행되고 그 기여가 비가시화되어 노동자의 복지와 권리가 침해되고 AI 역량에 대한 오해가 조장되는 리스크.,"The risk that the clickwork producing ML training data is performed in an annotation industry with little concern for workers' rights, and that the invisibility of this contribution harms worker welfare and rights while fostering misunderstanding of AI capabilities.",데이터 노동 저평가·비가시화,Undervalued and invisible data labor,ML 학습 데이터를 생산하는 클릭워커의 노동 이 노동자 권리를 경시하는 산업 관행 속에 수 행되고 그 기여가 비가시화되어 노동자의 복 지와 권리가 침해되고 AI 역량에 대한 오해가 조장되는 리스크.,"The risk that the clickwork producing ML training data is performed in an annotation industry with little concern for workers' rights, and that the invisibility of this contribution harms worker welfare and rights while fostering misunderstanding of AI capabilities.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-1661,SRC-G-0321,RAI4-1661,General,자본 편중· 시장 집중· 접근 격차에 의한 불평등 심화 리스크,"Worsening inequality from capital shift, market concentration, and access gaps","LLM 기반 경제에서 자본의 몫이 커지고 노동의 몫이 줄며, 막대한 훈련 고정 비용과 네트워크 효과가 소수 공급자의 시장 지배력과 지대 추출을 낳고, 재정· 교육· 기업 정책· 지정학적 이유로 접근이 배제된 개인이 불리해져 사회 경제적 불평등이 심화되는 리스크.","The risk that the role and compensation of capital rise while those of labor decline in an LLM-powered economy, that large fixed training costs and network effects concentrate the market and let providers extract monopoly rents, and that individuals without access for financial, educational, corporate-policy, or geopolitical reasons fall further behind, worsening socioeconomic inequality.",자본편중·시장집중·접근격차에 의한 불평등 심화,"Worsening inequality from capital shift, market concentration, and access gaps","LLM 기반 경제에서 자본의 몫이 커지고 노동 의 몫이 줄며, 막대한 훈련 고정비용과 네트워 크 효과가 소수 공급자의 시장 지배력과 지대 추출을 낳고, 재정·교육·기업 정책·지정학적 이유로 접근이 배제된 개인이 불리해져 사회 경제적 불평등이 심화되는 리스크.","The risk that the role and compensation of capital rise while those of labor decline in an LLM-powered economy, that large fixed training costs and network effects concentrate the market and let providers extract monopoly rents, and that individuals without access for financial, educational, corporate-policy, or geopolitical reasons fall further behind, worsening socioeconomic inequality.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0086,SRC-G-0322,RAI4-0086,General,규제 차익 거래 리스크,Regulatory arbitrage,AI 개발자나 배포자가 더 강한 감독 의무를 회피하기 위해 관할권· 부문· 조직 형태를 전략적으로 선택하거나 재구성하는 리스크.,"The risk that AI developers or deployers structure activities across jurisdictions, sectors, or organizational forms to avoid stronger oversight obligations.",규제 차익거래,Regulatory arbitrage,AI 개발자나 배포자가 더 강한 감독 의무를 회피하기 위해 관할권·부문·조직 형태를 전략적으로 선택하거나 재구성하는 리스크.,"The risk that AI developers or deployers structure activities across jurisdictions, sectors, or organizational forms to avoid stronger oversight obligations.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0383,SRC-G-0323,RAI4-0383,General,AI를 매개로 한 디지털 식민주의 리스크,AI-mediated digital colonialism,"AI 시스템이 데이터, 인프라, 지식, 의사 결정에 대한 비대칭적 통제를 강대 행위자로부터 약소 공동체로 확장하여 식민주의적 추출· 종속 구조를 재생산하는 리스크.","The risk that aI systems extend asymmetric control over data, infrastructure, knowledge, and decision-making from powerful actors to less powerful communities, reproducing colonial patterns of extraction and dependency.",AI를 매개로 한 디지털 식민주의,AI-mediated digital colonialism,"AI 시스템이 데이터, 인프라, 지식, 의사결정에 대한 비대칭적 통제를 강대 행위자로부터 약소 공동체로 확장하여 식민주의적 추출·종속 구조를 재생산하는 리스크.","The risk that aI systems extend asymmetric control over data, infrastructure, knowledge, and decision-making from powerful actors to less powerful communities, reproducing colonial patterns of extraction and dependency.",SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0415,SRC-G-0324,RAI4-0415,General,문화 해석 권위의 이전 리스크,Redistribution of cultural authority,AI 시스템이 문화 해석에 대한 권위를 공동체와 전문가로부터 모델 제공자나 플랫폼 중개자로 이전시키는 리스크.,The risk that AI systems shift authority over cultural interpretation from communities and experts to model providers or platform intermediaries.,문화 해석 권위의 이전,Redistribution of cultural authority,AI 시스템이 문화 해석에 대한 권위를 공동체 와 전문가로부터 모델 제공자나 플랫폼 중개 자로 이전시키는 리스크.,The risk that AI systems shift authority over cultural interpretation from communities and experts to model providers or platform intermediaries.,SPACING_FIX,표기 교정(원문 대조 복원),
RAI4-0460,SRC-G-0325,RAI4-0460,General,AI 권력· 시장 지배력의 집중 리스크,Concentration of AI power and market control,"AI에 요구되는 데이터, 연산, 자본, 전문성이 소수의 기업과 국가에 경제적· 인식적· 정치적 권력을 집중시켜 시장 지배력과 진입 장벽을 고착화하는 리스크. 이러한 집중은 경쟁과 혁신을 저해하고 접근 비용을 높이며, 공유된 단일 모델의 결함에 중요 부문을 노출시키고, 권위주의적 통제의 고착과 불평등 심화로까지 이어질 수 있다. 이러한 결과를 초래하는 리스크.","The risk that the data, compute, capital, and expertise demands of AI concentrate economic, epistemic, and political power in a small set of firms and states, entrenching market dominance and barriers to entry. Such concentration stifles competition and innovation, raises the cost of access, exposes critical sectors to systemic failure from shared models, and can consolidate authority to the point of entrenching authoritarian control and deepening inequality.",AI 권력·시장 지배력의 집중,Concentration of AI power and market control,"AI에 요구되는 데이터, 연산, 자본, 전문성이 소수의 기업과 국가에 경제적·인식적·정치적 권력을 집중시켜 시장 지배력과 진입 장벽을 고착화하는 리스크. 이러한 집중은 경쟁과 혁신을 저해하고 접근 비용을 높이며, 공유된 단일 모델의 결함에 중요 부문을 노출시키고, 권위주의적 통제의 고착과 불평등 심화로까지 이어질 수 있다. 이러한 결과를 초래하는 리스크.","The risk that the data, compute, capital, and expertise demands of AI concentrate economic, epistemic, and political power in a small set of firms and states, entrenching market dominance and barriers to entry. Such concentration stifles competition and innovation, raises the cost of access, exposes critical sectors to systemic failure from shared models, and can consolidate authority to the point of entrenching authoritarian control and deepening inequality.",SPACING_FIX,표기 교정(원문 대조 복원),분량 초과: L3 수준 1문장으로 축약 필요; 영문 정의 장문: 축약 필요
RAI4-0491,SRC-G-0326,RAI4-0491,General,알고리즘 획일화 리스크,Algorithmic monoculture,특정 AI 모델의 지배가 접근 방식의 다양성을 축소하여 해당 모델이 실패할 경우 시스템적 위험이 증폭되는 리스크.,"The risk that dominance of specific AI models reduces diversity of approaches, amplifying systemic risks if those models fail.",알고리즘 획일화,Algorithmic monoculture,특정 AI 모델의 지배가 접근 방식의 다양성을 축소하여 해당 모델이 실패할 경우 시스템적 위험이 증폭되는 리스크.,"The risk that dominance of specific AI models reduces diversity of approaches, amplifying systemic risks if those models fail.",UNCHANGED,,
